run_id,cohort,raw_status,raw_uri,raw_format,raw_files_n,raw_bytes,reads_total,signal_positive,unblock_mux_change,data_service_unblock_mux_change,mux_change,signal_negative,other,count_command,code_commit,slurm_job_id,started_at,finished_at,source_before_rerun,flow_cell,kit,notes
ER06,internal,raw_unavailable,/nfs/turbo/umms-atheylab/gregfar/SMS/SMS_POP_data/Single_MOlecule_Species_Eco53KI/2925_PvuII_0_5uL_25fmol/20250515_1055_MN48328_AZL258_4956feb0/pod5,pod5,,,1279857,,,,,,,,,,,,catalogue_full_n,FLO-FLG114,LSK114,"catalogue_full_n: full-N count from catalogue (1,279,857 reads). Raw POD5/FAST5 not accessible from this workstation — requires GL with Turbo mount for pod5_full_n_refill upgrade. Not estimate-only; already full-N."
ER09,internal,raw_unavailable,/nfs/turbo/umms-atheylab/sequencing_data/data_from_linux_desktop_lab/rapid_barcode_plasmid_24/IF_CZ_July3_initialGGexperiment/20250703_1644_MD-100098_FBB32599_55664064/pod5_pass/barcode01,pod5,,,11475574,,,,,,,,,,,,seqsum_full_n,FLO-MIN114,RBK114,"seqsum_full_n: full-N count from sequencing summary (11,475,574 reads). Raw POD5 not accessible from this workstation. Not estimate-only; already full-N."
ER12,internal,raw_unavailable,/nfs/turbo/umms-atheylab/sequencing_data/data_from_linux_desktop_lab/WGS_LSK_human/greg_DNA_sample3_NS_jul13/20250713_2118_MD-102066_FBD19495_6395e55e/pod5,pod5,,,200128,,,,,,,,,,,,seqsum_full_n,FLO-MIN114,LSK114,"seqsum_full_n: full-N count from sequencing summary (200,128 reads). Not estimate-only; already full-N."
ER13,internal,raw_unavailable,/nfs/turbo/umms-atheylab/sequencing_data/data_from_linux_desktop_lab/Fall2025/AGC/14136-CZ-1/20250805_1124_1E_PBE95110_a36d5ac5/pod5,pod5,,,965659,,,,,,,,,,,,seqsum_full_n,FLO-PRO114M,LSK114,"seqsum_full_n: full-N count (965,659 reads). Not estimate-only; already full-N."
ER14,internal,raw_unavailable,/nfs/turbo/umms-atheylab/sequencing_data/data_from_linux_desktop_lab/Fall2025/081920205_IF_Pilot_SMA_seq/no_sample_id/20250819_2057_MD-102066_FBD65978_f6ad7dd5/pod5_pass/V016,pod5,,,5147265,,,,,,,,,,,,seqsum_full_n,FLO-MIN114,NBD114,"seqsum_full_n: full-N count (5,147,265 reads). Not estimate-only; already full-N."
ER15,internal,raw_unavailable,/nfs/turbo/umms-atheylab/sequencing_data/data_from_linux_desktop_lab/Fall2025/11242025_IF_Part4_CIP_Treated_SMA_seq/no_sample_id/20251124_2039_MD-101527_FBD68976_9f9f4bc1/pod5_pass/V04_3,pod5,,,707,,,,,,,,,,,,full_n_below_cap,FLO-MIN114,NBD114,"full_n_below_cap: 707 reads total — tiny run, all reads counted. Not estimate-only."
ER17,internal,raw_unavailable,/nfs/turbo/umms-atheylab/gregfar/SMS/SMS_POP_data/Single_MOlecule_Species_Eco53KI/2925_100fmol_2uL_no2ndRE/20250515_0914_MD-101527_AZF074_f2c046fe/pod5,pod5,,,872600,,,,,,,,,,,,catalogue_full_n,FLO-FLG114,LSK114,"catalogue_full_n: full-N count from catalogue (872,600 reads). Not estimate-only; already full-N."
ER18,internal,raw_unavailable,/nfs/turbo/umms-atheylab/sequencing_data/data_from_linux_desktop_lab/20260129_IF_GG_Part5_Odd/20260129_IF_SMAseq_Ggallphos_extended_1/20260129_2152_MD-101527_FBD70599_9621d647/pod5_pass/mixed,pod5,,,1847,,,,,,,,,,,,full_n_below_cap,FLO-MIN114,NBD114,"full_n_below_cap: 1,847 reads — tiny run, all reads counted. Not estimate-only."
ER19,internal,raw_unavailable,/nfs/turbo/umms-atheylab/Migration_data_backup/data1/CYP2D7_Level_2_rapid_barcode/first_run/20260423_1659_MD-101527_FBD64710_7c5452b3/pod5_pass/barcode19,pod5,,,1,,,,,,,,,,,,full_n_below_cap,FLO-MIN114,RBK114,full_n_below_cap: 1 read — single-read run. Not estimate-only.
ER21,internal,full_raw_counted,pod5(with pod5 skip),pod5,,,4563942,,,,,,,,,,,,seqsum_full_n_refill,FLO-MIN114,RAD114,catalogue_sheet4 source; full GL recount completed from /nfs/turbo/umms-atheylab/backup_from_desktop/Files_On_Linux_Desktop/data2/sequencing_data/WholeEColiGenomeAssembly/Strain3040pCYP32325prep_rapid/20250328_1705_MN47455_FBA46097_727b6345.
ER22,internal,full_raw_counted,pod5(with pod5 skip),pod5,,,2713028,,,,,,,,,,,,seqsum_full_n_refill,FLO-MIN114,RAD114,catalogue_sheet4 source; full GL recount completed from /nfs/turbo/umms-atheylab/backup_from_desktop/Files_On_Linux_Desktop/data2/sequencing_data/WholeEColiGenomeAssembly/2925pCYP1ml135ngperulextracted32325/20250328_1730_MN48004_FBA45795_83e8d49f.
