survey_run_id,title,raw_format,assay_hint,sample_hint,flow_cell_product_code,sequencing_kit,catalog_match_status,platform_class_resolved,analysis_config_change,data_service_unblock_mux_change,mux_change,signal_negative,signal_positive,unblock_mux_change,called_reads,other,non_signal_positive,non_signal_positive_pct,signal_positive_pct,unblock_mux_change_pct,mux_change_pct,signal_negative_pct,analysis_config_change_pct,data_service_unblock_mux_change_pct,other_pct,top_non_signal_reason,top_non_signal_reads,top_non_signal_pct,low_depth,run_number,run_date,short_label,plot_label,condition_label
gl_er_01_20210331-1614-5a-pag29002-71ba5841,20210331_1614_5A_PAG29002_71ba5841,fast5,unspecified,ONLA29098_3,FLO-PRO111,sqk-lsk109,unmatched,PromethION,0,0,1279,10,22420,8291,32000,0,9580,29.9375,70.0625,25.909375,3.996875,0.03125,0.0,0.0,0.0,unblock_mux_change,8291,25.909375,False,ER01,2021-03-31,ER01 | FAST5 | unspecified,ER01 | 2021-03-31 | FAST5 | unspecified,ER01 FAST5 FLO-PRO111 sqk-lsk109
gl_er_02_20220503-1708-1h-pam63103-c3de1ce7,20220503_1708_1H_PAM63103_c3de1ce7,fast5,unspecified,flowcells,FLO-PRO114M,sqk-lsk114t,unmatched,PromethION,0,0,0,31,31816,153,32000,0,184,0.575,99.425,0.478125,0.0,0.096875,0.0,0.0,0.0,unblock_mux_change,153,0.478125,False,ER02,2022-05-03,ER02 | FAST5 | unspecified,ER02 | 2022-05-03 | FAST5 | unspecified,ER02 FAST5 FLO-PRO114M sqk-lsk114t
gl_er_03_20220510-1127-5f-pam63167-d3c6b017,20220510_1127_5F_PAM63167_d3c6b017,fast5,unspecified,ONLA29132,FLO-PRO114M,sqk-ulk114,unmatched,PromethION,0,0,138,13,29850,1999,32000,0,2150,6.71875,93.28125,6.246875,0.43125,0.040625,0.0,0.0,0.0,unblock_mux_change,1999,6.246875,False,ER03,2022-05-10,ER03 | FAST5 | unspecified,ER03 | 2022-05-10 | FAST5 | unspecified,ER03 FAST5 FLO-PRO114M sqk-ulk114
gl_er_04_20241002-1142-mn47455-ats581-1b3bae91,20241002_1142_MN47455_ATS581_1b3bae91,pod5,pharmacogenomics,cyp,FLO-FLG114,sqk-lsk114,matched,MinION,0,0,16,4,1417,29,1466,0,49,3.3424283765347886,96.65757162346522,1.9781718963165076,1.0914051841746248,0.2728512960436562,0.0,0.0,0.0,unblock_mux_change,29,1.9781718963165076,True,ER04,2024-10-02,ER04 | POD5 | pharmacogenomics,ER04 | 2024-10-02 | POD5 | pharmacogenomics,ER04 POD5 FLO-FLG114 sqk-lsk114
gl_er_05_20241022-1112-mn47455-awd455-ec110aed,20241022_1112_MN47455_AWD455_ec110aed,pod5,Cas9-targeted,cyp,FLO-FLG114,sqk-lsk114,matched,MinION,0,0,7,2,6019,96,6124,0,105,1.7145656433703462,98.28543435662965,1.5676028739386023,0.11430437622468975,0.032658393207054215,0.0,0.0,0.0,unblock_mux_change,96,1.5676028739386023,False,ER05,2024-10-22,ER05 | POD5 | Cas9-targeted,ER05 | 2024-10-22 | POD5 | Cas9-targeted,ER05 POD5 FLO-FLG114 sqk-lsk114
gl_er_06_20250515-1055-mn48328-azl258-4956feb0,20250515_1055_MN48328_AZL258_4956feb0,pod5,plasmid,2925_PvuII_0_5uL_25fmol,FLO-FLG114,sqk-lsk114,matched,MinION,0,0,0,13,49966,21,50000,0,34,0.068,99.932,0.042,0.0,0.026,0.0,0.0,0.0,unblock_mux_change,21,0.042,False,ER06,2025-05-15,ER06 | POD5 | plasmid,ER06 | 2025-05-15 | POD5 | plasmid,ER06 POD5 FLO-FLG114 sqk-lsk114
gl_er_07_20241007-1604-mn47455-atp988-0b11bed3,20241007_1604_MN47455_ATP988_0b11bed3,pod5,pharmacogenomics,cyp,FLO-FLG114,sqk-lsk114,matched,MinION,0,0,21,73,36580,172,36846,0,266,0.7219236823535797,99.27807631764642,0.4668077946045704,0.056993974922651035,0.19812191282635835,0.0,0.0,0.0,unblock_mux_change,172,0.4668077946045704,False,ER07,2024-10-07,ER07 | POD5 | pharmacogenomics,ER07 | 2024-10-07 | POD5 | pharmacogenomics,ER07 POD5 FLO-FLG114 sqk-lsk114
gl_er_08_20241107-1655-mn48004-fba70225-773d3c35,20241107_1655_MN48004_FBA70225_773d3c35,pod5,Cas9-targeted,cyp,FLO-MIN114,sqk-lsk114,unmatched,MinION,0,0,23,84,49119,774,50000,0,881,1.762,98.238,1.548,0.046,0.168,0.0,0.0,0.0,unblock_mux_change,774,1.548,False,ER08,2024-11-07,ER08 | POD5 | Cas9-targeted,ER08 | 2024-11-07 | POD5 | Cas9-targeted,ER08 POD5 FLO-MIN114 sqk-lsk114
gl_er_09_20250703-1644-md-100098-fbb32599-55664064,20250703_1644_MD-100098_FBB32599_55664064,pod5,plasmid,plasmid,FLO-MIN114,sqk-rbk114-24,unmatched,MinION,0,0,18,54,49598,330,50000,0,402,0.804,99.196,0.66,0.036,0.108,0.0,0.0,0.0,unblock_mux_change,330,0.66,False,ER09,2025-07-03,ER09 | POD5 | plasmid,ER09 | 2025-07-03 | POD5 | plasmid,ER09 POD5 FLO-MIN114 sqk-rbk114-24
gl_er_10_20250625-1833-md-100098-fbb37666-707a623e,20250625_1833_MD-100098_FBB37666_707a623e,pod5,Cas9-targeted,cyp,FLO-MIN114,sqk-lsk114,unmatched,MinION,3,0,2,110,38726,524,39365,0,639,1.6232694017528262,98.37673059824718,1.331131715991363,0.0050806554045471864,0.27943604725009524,0.00762098310682078,0.0,0.0,unblock_mux_change,524,1.331131715991363,False,ER10,2025-06-25,ER10 | POD5 | Cas9-targeted,ER10 | 2025-06-25 | POD5 | Cas9-targeted,ER10 POD5 FLO-MIN114 sqk-lsk114
gl_er_11_20250627-1402-md-100098-fbb32999-ac91bc0c,20250627_1402_MD-100098_FBB32999_ac91bc0c,pod5,pharmacogenomics,cyp,FLO-MIN114,sqk-lsk114,unmatched,MinION,0,0,0,21,49962,17,50000,0,38,0.076,99.924,0.034,0.0,0.042,0.0,0.0,0.0,signal_negative,21,0.042,False,ER11,2025-06-27,ER11 | POD5 | pharmacogenomics,ER11 | 2025-06-27 | POD5 | pharmacogenomics,ER11 POD5 FLO-MIN114 sqk-lsk114
