label,n_runs,called_reads,non_signal_positive,signal_positive,unblock_mux_change,mux_change,signal_negative,analysis_config_change,data_service_unblock_mux_change,other,signal_positive_pct,unblock_mux_change_pct,mux_change_pct,signal_negative_pct,analysis_config_change_pct,data_service_unblock_mux_change_pct,other_pct,non_signal_positive_pct,stratum_group,stratum_field,stratum,group_order,low_depth_runs,median_run_non_signal_positive_pct,max_run_read_share
Container: fast5,3,96000,11914,84086,10443,1417,54,0,0,0,87.58958333333334,10.878125,1.4760416666666667,0.05625,0.0,0.0,0.0,12.410416666666666,Container,raw_format,fast5,0,0,6.71875,0.3333333333333333
Container: pod5,17,477675,6512,471163,5178,493,812,22,7,0,98.63672999424294,1.0840006280420789,0.10320824828596849,0.1699900560004187,0.004605641911341394,0.0014654315172449887,0.0,1.3632700057570524,Container,raw_format,pod5,0,5,1.6232694017528262,0.10467367980321349
Flow cell: FLO-FLG114,5,144436,1115,143321,878,44,193,0,0,0,99.22803179262787,0.6078816915450441,0.030463319394056883,0.13362319643302223,0.0,0.0,0.0,0.7719682073721232,Flow cell,flow_cell_product_code,FLO-FLG114,1,1,1.322,0.3461740840233737
Flow cell: FLO-MIN114,11,283239,3889,279350,3310,100,450,22,7,0,98.62695462136217,1.168624377292675,0.035305872425760575,0.1588764259159226,0.0077672919336673266,0.00247141106980324,0.0,1.373045378637829,Flow cell,flow_cell_product_code,FLO-MIN114,1,4,1.6232694017528262,0.17652936212880288
Flow cell: FLO-PRO111,1,32000,9580,22420,8291,1279,10,0,0,0,70.0625,25.909375,3.996875,0.03125,0.0,0.0,0.0,29.9375,Flow cell,flow_cell_product_code,FLO-PRO111,1,0,29.9375,1.0
Flow cell: FLO-PRO114M,3,114000,3842,110158,3142,487,213,0,0,0,96.62982456140351,2.756140350877193,0.42719298245614035,0.1868421052631579,0.0,0.0,0.0,3.3701754385964913,Flow cell,flow_cell_product_code,FLO-PRO114M,1,0,3.016,0.43859649122807015
Assay: Cas9-targeted,4,105158,2045,103113,1744,50,234,17,0,0,98.0553072519447,1.6584567983415432,0.0475474999524525,0.2225222997774777,0.01616614998383385,0.0,0.0,1.9446927480553073,Assay,assay_hint,Cas9-targeted,2,0,1.7382828216851731,0.475474999524525
Assay: SMA-seq,3,34196,1025,33171,881,39,100,5,0,0,97.00257340039771,2.5763247163410927,0.11404842671657504,0.29243186337583343,0.014621593168791672,0.0,0.0,2.9974265996022926,Assay,assay_hint,SMA-seq,2,2,2.4334744959231402,0.9253129020938121
Assay: WGS,1,50000,476,49524,434,0,42,0,0,0,99.048,0.868,0.0,0.084,0.0,0.0,0.0,0.952,Assay,assay_hint,WGS,2,0,0.952,1.0
Assay: barcoded,1,1,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Assay,assay_hint,barcoded,2,1,0.0,1.0
Assay: pharmacogenomics,4,88320,361,87959,218,37,99,0,7,0,99.59125905797102,0.24682971014492755,0.041893115942028984,0.11209239130434782,0.0,0.00792572463768116,0.0,0.40874094202898553,Assay,assay_hint,pharmacogenomics,2,2,2.032176029444184,0.5661231884057971
Assay: plasmid,3,150000,1097,148903,911,18,168,0,0,0,99.26866666666666,0.6073333333333333,0.012,0.112,0.0,0.0,0.0,0.7313333333333333,Assay,assay_hint,plasmid,2,0,0.804,0.3333333333333333
Assay: unspecified,4,146000,13422,132578,11433,1766,223,0,0,0,90.80684931506849,7.830821917808219,1.2095890410958905,0.15273972602739727,0.0,0.0,0.0,9.193150684931506,Assay,assay_hint,unspecified,2,0,4.867375,0.3424657534246575
Kit: sqk-lsk109,1,32000,9580,22420,8291,1279,10,0,0,0,70.0625,25.909375,3.996875,0.03125,0.0,0.0,0.0,29.9375,Kit,sequencing_kit,sqk-lsk109,3,0,29.9375,1.0
Kit: sqk-lsk114,10,383801,4657,379144,3617,418,619,3,0,0,98.78661076964364,0.9424154705172733,0.10891060731993923,0.16128149744268513,0.000781655076458894,0.0,0.0,1.2133892303563565,Kit,sequencing_kit,sqk-lsk114,3,1,1.4726347008764131,0.13027584607648235
Kit: sqk-lsk114-xl,1,9669,420,9249,350,18,38,14,0,0,95.6562209121936,3.6198159065053264,0.18616196090598822,0.393008584134864,0.14479263626021305,0.0,0.0,4.343779087806392,Kit,sequencing_kit,sqk-lsk114-xl,3,0,4.343779087806392,1.0
Kit: sqk-lsk114t,1,32000,184,31816,153,0,31,0,0,0,99.425,0.478125,0.0,0.096875,0.0,0.0,0.0,0.575,Kit,sequencing_kit,sqk-lsk114t,3,0,0.575,1.0
Kit: sqk-nbd114-24,4,34204,1033,33171,881,39,101,5,7,0,96.97988539352123,2.5757221377616655,0.11402175184188984,0.29528710092386856,0.0146181733130628,0.02046544263828792,0.0,3.0201146064787743,Kit,sequencing_kit,sqk-nbd114-24,3,3,7.957397778551716,0.9250964799438662
Kit: sqk-rbk114-24,2,50001,402,49599,330,18,54,0,0,0,99.1960160796784,0.6599868002639947,0.03599928001439971,0.10799784004319914,0.0,0.0,0.0,0.8039839203215936,Kit,sequencing_kit,sqk-rbk114-24,3,1,0.402,0.999980000399992
Kit: sqk-ulk114,1,32000,2150,29850,1999,138,13,0,0,0,93.28125,6.246875,0.43125,0.040625,0.0,0.0,0.0,6.71875,Kit,sequencing_kit,sqk-ulk114,3,0,6.71875,1.0
